"identificador";"nome";"avaliacao"
CoNLL;Conference on Natural Language Learning;A2
ONDM;International Conference on Optical Network Design and Modeling;A4
"10645462";ARTIFICIAL LIFE;A4
"09732063";BIOINFORMATION (ONLINE) (CHENNAI);nulo
"07173458";ELECTRONIC JOURNAL OF BIOTECHNOLOGY;A3
"21681163";COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING: IMAGING AND VISUALIZATION;A3
NEWCAS;IEEE International New Circuits and Systems Conference;B1
ICDCSW;International Conference on Distributed Computing Systems Workshops;A4
"01716468";OR-SPEKTRUM;A3
"07365845";ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;A1
NetSoftW;IEEE NetSoft Conference and Workshops;A4
WIFS;IEEE Workshop on Information Forensics and Security;A4
"02194678";INTERNATIONAL JOURNAL OF IMAGE AND GRAPHICS;B3
IEEEIA;IEEE Symposium on Intelligent Agents;B3
ICIEOM;International Conference on Industrial Engineering and Operations Management;B2
DCASE;Workshop on Detection and Classification of Acoustic Scenes and Events;B4
"16782690";ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE);A2
WEI;Workshop sobre Educação em Computação;A4
IWT;International Workshop on Telecommunications;B3
"21782229";CADERNOS DE PESQUISA - UNIVERSIDADE FEDERAL DO MARANHÃO;nulo
"20738994";SYMMETRY;A2
"14337541";PATTERN ANALYSIS AND APPLICATIONS;A4
"00319155";PHYSICS IN MEDICINE AND BIOLOGY (PRINT);A2
"03649024";JOURNAL OF GRAPH THEORY (PRINT);A3
ICCAR;International Conference on Control, Automation and Robotics;B2
"17518601";IET COMPUTERS & DIGITAL TECHNIQUES (PRINT);B1
"00220000";JOURNAL OF COMPUTER AND SYSTEM SCIENCES (PRINT);A2
"15209210";IEEE TRANSACTIONS ON MULTIMEDIA;A1
"0955792X";JOURNAL OF LOGIC AND COMPUTATION (PRINT);A1
"15167399";JOURNAL OF MICROWAVES AND OPTOELECTRONICS;nulo
ICNS-IARIA;IARIA International Conference on Networking and Services;B4
WASSA;Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis;A4
HRI;ACM/IEEE International Conference on Human Robot Interaction;A1
HEALTHCOM;IEEE International Conference on E-health Networking, Application & Services;A3
"23167963";HUMAN FACTORS IN DESIGN;nulo
"00071013";BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;A1
EuroSPI;European Conference on Software Process Improvement;B2
"19826125";REVISTA BRASILEIRA DE PESQUISA EM TURISMO;nulo
"16763793";REVISTA DA SOCIEDADE BRASILEIRA DE ENFERMEIROS PEDIATRAS;nulo
AGILE;Agile Conference;A3
"13665545";TRANSPORTATION RESEARCH. PART E, LOGISTICS AND TRANSPORTATION REVIEW;A1
RECOSOC;International Symposium on Reconfigurable Communication-centric Systems-on-Chip;B2
ICDT;International Conference on Database Theory;A3
"19919603";GEOSCIENTIFIC MODEL DEVELOPMENT;A1
SWAT;Scandinavian Workshop on Algorithm Theory;A4
PPOPP;ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming;A2
ICFHR;International Conference on Frontiers in Handwriting Recognition;A4
"20503806";ASLIB JOURNAL OF INFORMATION MANAGEMENT;A2
DSD;Euromicro Conference on Digital System Design;A3
"20423217";INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY, COMMUNICATIONS AND CONVERGENCE;nulo
COMMA;International Conference on Computational Models of Argument;A4
"15265528";INFORMS JOURNAL ON COMPUTING (ONLINE);A3
"08857458";INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING;A4
FSCD;International Conference on Formal Structures for Computation and Deduction;B2
"16768361";JAVA MAGAZINE;nulo
"00051098";AUTOMATICA (OXFORD);A1
ISMR;International Symposium on Medical Robotics;B4
CF;ACM International Conference on Computing Frontiers;A4
WABI;Workshop on Algorithms in Bioinformatics;A3
CICOMMS;Symposium on Computational Intelligence for Communication Systems and Networks;B3
"11381663";REVISTA GALEGO-PORTUGUESA DE PSICOLOXÍA E EDUCACIÓN;nulo
"09208542";JOURNAL OF SUPERCOMPUTING;A2
WIM;Workshop de Informática Médica;B4
ECWeb;International Conference on Electronic Commerce and Web Technologies;B2
"15501876";INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION;A4
"01650270";JOURNAL OF NEUROSCIENCE METHODS;A4
NOCS;ACM/IEEE International Symposium on Networks-on-Chip;A3
"01636804";IEEE COMMUNICATIONS MAGAZINE (PRINT);A1
"13506501";PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS, PART J, JOURNAL OF ENGINEERING TRIBOLOGY;A4
"09307575";CLIMATE DYNAMICS;A2
"02664763";JOURNAL OF APPLIED STATISTICS;A4
CSBIO;International Conference on Computational Systems-Biology and Bioinformatics;B3
ACMSOCC;ACM Symposium on Cloud Computing;A1
STIL;Brazilian Symposium in Information and Human Language Technology;B1
CSF;IEEE Computer Security Foundations Symposium;A3
"09639314";SOFTWARE QUALITY JOURNAL;A2
"20959184";FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING;A4
"14637154";BUSINESS PROCESS MANAGEMENT JOURNAL;A1
ICONIP;International Conference on Neural Information Processing;A4
"15827445";ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING (PRINT);A4
MCS;International Workshop on Multiple Classifier Systems Multiple Classifier Systems;B2
"21924406";EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION (PRINT);A2
NETSOFT;IEEE Conference on Network Softwarization;A3
"19816278";RECIIS. REVISTA ELETRÔNICA DE COMUNICAÇÃO, INFORMAÇÃO & INOVAÇÃO EM SAÚDE (EDIÇÃO EM PORTUGUÊS. ONLINE);nulo
"02780062";IEEE TRANSACTIONS ON MEDICAL IMAGING (PRINT);A1
ADVANCE;International Workshop on ADVANCEs in ICT Infrastructures and Services;B4
INTERACCION;International Conference on Human Computer Interaction;B2
"19391374";IEEE TRANSACTION ON SERVICES COMPUTING;A1
MESA;IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications;B4
GAS;International Workshop on Games and Software Engineering;B3
ARES;International Conference on Availability, Reliability and Security;A4
"00922102";INTERFACES;B1
"21771626";PESQUISEDUCA;nulo
"00410101";TOXICON (OXFORD);A4
"23519789";PROCEDIA MANUFACTURING;A4
WSC;Winter Simulation Conference;A4
"11343478";COMUNICAR (HUELVA);A1
"15188345";REVISTA LATINO-AMERICANA DE ENFERMAGEM (USP - RIBEIRÃO PRETO);nulo
"07475632";COMPUTERS IN HUMAN BEHAVIOR;A1
"01692607";COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE (PRINT);A1
"09333657";ARTIFICIAL INTELLIGENCE IN MEDICINE (PRINT);A2
"17418763";INTERNATIONAL JOURNAL OF BUSINESS PROCESS INTEGRATION AND MANAGEMENT (PRINT);B2
ECCV;European Conference on Computer Vision;A1
"09249907";JOURNAL OF MATHEMATICAL IMAGING AND VISION;A1
"23529385";REMOTE SENSING APPLICATIONS: SOCIETY AND ENVIRONMENT;A2
"23529148";INFORMATICS IN MEDICINE UNLOCKED;A4
FACS;International Conference on Formal Aspects of Component Software;B2
EMSOFT;ACM International Conference on Embedded Software;A3
MASS;Mobility Analytics from Spatial and Social Data;B4
ISNN;International Symposium on Neural Networks;B2
"09244247";SENSORS AND ACTUATORS. A, PHYSICAL;A1
ICAART;International Conference on Agents and Artificial Intelligence;B1
ICNC;International Conference on Natural Computation;A4
"01464833";COMPUTER COMMUNICATION REVIEW;A3
"16766024";CADERNOS TÉCNICOS DE VETERINÁRIA E ZOOTECNIA (UFMG);nulo
ANTS;IEEE International Conference on Advanced Networks and Telecommuncations Systems;B1
"01031147";TRANSFORMAÇÃO;nulo
ICA3PP;International Conference on Algorithms and Architectures for Parallel Processing;B1
"2329924X";IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS;A1
"00378682";REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO);B1
USENIXATC;USENIX Annual Technical Conference;A1
"15732886";JOURNAL OF COMBINATORIAL OPTIMIZATION (DORDRECHT. ONLINE);A2
ENIAC;Encontro Nacional de Inteligencia Artificial e Computacional;B4
"20903340";INTERNATIONAL JOURNAL OF STOCHASTIC ANALYSIS;A3
Matheuristics;International Workshop on Model-based metaheuristics;B4
"1942261X";INTERNATIONAL JOURNAL ON ADVANCES IN SYSTEMS AND MEASUREMENTS;nulo
"03014797";JOURNAL OF ENVIRONMENTAL MANAGEMENT;A1
"03081087";LINEAR AND MULTILINEAR ALGEBRA;A2
SACCONET;International Conference on Smart Communications in Network Technologies;B2
"20487703";APSIPA TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING;B1
EICS;ACM SIGCHI Symposium on Engineering Interactive Computing Systems;A3
USENIX Security;USENIX Security Symposium;A1
"24058963";IFAC-PAPERSONLINE;B2
"14346028";THE EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER PHYSICS (PRINT);B1
"17938201";INTERNATIONAL JOURNAL OF COMPUTER THEORY AND ENGINEERING;nulo
"18085377";INFODESIGN (SBDI. ONLINE);nulo
RAID;International Symposium on Research in Attacks, Intrusions, and Defenses;A3
"18670202";BUSINESS & INFORMATION SYSTEMS ENGINEERING;A1
PLATIAL;International Symposium on Platial Information Science;B4
"10586180";IEEE ANNALS OF THE HISTORY OF COMPUTING;A4
GROUP;International Conference on Supporting Group Work;A4
"19810997";REVISTA BRASILEIRA DE CIENCIAS AGRARIAS;B2
"24464740";RESEARCH ON BIOMEDICAL ENGINEERING;B3
COCOA;International Conference on Combinatorial Optimization and Applications;B2
SBST;International Workshop on Search-Based Software Testing;A4
"00063835";BIT NUMERICAL MATHEMATICS;nulo
"22242708";JOURNAL OF SENSOR AND ACTUATOR NETWORKS;A2
SCAM;IEEE International Working Conference on Source Code Analysis and Manipulation;B1
ISDA;International Conference on Intelligent Systems Design and Applications;B2
GECCO;Genetic and Evolutionary Computation Conference;A2
ICARCV;International Conference on Control, Automation, Robotics and Vision;B2
"16794508";EINSTEIN (SÃO PAULO);A4
LATINCOM;IEEE Latin-American Conference on Communications;B2
"18696015";TRANSACTIONS ON PATTERN LANGUAGES OF PROGRAMMING;nulo
ITNG;International Conference on Information Technology : New Generations;A4
DBKD-AIARIA;IARIA International Conference on Advances in Databases, Knowledge, and Data Applications;B4
SLT;Workshop on Spoken Language Technology;A3
"01689274";APPLIED NUMERICAL MATHEMATICS;A3
ISAAC;International Symposium Algorithms and Computation;A3
HCI;International Conference on Human-Computer Interaction;B1
"15524450";NATURE CHEMICAL BIOLOGY;A1
ETELEMED-IARIA;IARIA International Conference on eHealth, Telemedicine, and Social Medicine;B4
IAT;IEEE/WIC/ACM International Conference on Intelligent Agent Technology;A4
"14350645";AGRONOMY JOURNAL (ONLINE);A2
SustainIT;Conference on Sustainable Internet and ICT for Sustainability;B4
DOCENG;ACM SIGWEB International Symposium on Document Engineering;B1
PESOS;International Workshop on Principles of Engineering Service-Oriented and Cloud Systems;B3
"12256463";ETRI JOURNAL;A3
"01290541";INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE;B2
IC2E;IEEE International Conference on Cloud Engineering;A3
"07366205";BIOTECHNIQUES;B1
"01928651";JOURNAL OF COMPUTATIONAL CHEMISTRY;A1
"21907188";HEALTH AND TECHNOLOGY;B2
"10434666";CYTOKINE;A2
"1980556X";MEDIAÇÃO (UEG. PIRES DO RIO);nulo
IEEE eScience;IEEE International eScience Conference;B1
ICCETaiwan;IEEE International Conference on Consumer Electronics Taiwan;B2
"19840993";REVISTA ELETRÔNICA TECCEN;nulo
ACII;International Conference on Affective Computing and Intelligent Interaction;A3
SIGCOMM;ACM SIGCOMM Conference;A1
INTERSPEECH;Conference of the International Speech Communication Association;A1
"10000674";ACTA MICROPALAEONTOLOGICA SINICA (BEIJING);nulo
"1097024X";SOFTWARE: PRACTICE AND EXPERIENCE;A3
CCSI;Workshop on Core Computations on Spatial Information;B4
"08912017";COMPUTATIONAL LINGUISTICS;A1
"22780181";INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY;nulo
NFM;NASA Formal Methods Symposium;A3
"17341922";ARCHIVES OF MEDICAL SCIENCE;A1
IWOCA;International Workshop on Combinatorial Algorithms;B2
"19801726";HYGEIA : REVISTA BRASILEIRA DE GEOGRAFIA MÉDICA E DA SAÚDE (UBERLÂNDIA);nulo
SBGAMES;Simpósio Brasileiro de Jogos e Entretenimento Digital;B1
"21510032";AMERICAN SOCIETY OF AGRICULTURAL AND BIOLOGICAL ENGINEERS. TRANSACTIONS;A3
COMPGEOM;International Symposium on Computational Geometry;A3
"09769005";JOURNAL OF INTELLIGENT COMPUTING;nulo
InfoVis;IEEE Information Visualization;B3
ICWMC-IARIA;IARIA International Conference on Wireless and Mobile Communications;B4
ICED;International Conference on Engineering Design;B1
"13823256";EMPIRICAL SOFTWARE ENGINEERING;A1
ACE;International Conference on Advances in Computer Entertainment Technology;B1
"17577012";WILEY INTERDISCIPLINARY REVIEWS: RNA;A1
"18672949";MATHEMATICAL PROGRAMMING COMPUTATION;A2
"15732894";COMPUTATIONAL OPTIMIZATION AND APPLICATIONS (DORDRECHT. ONLINE);A2
SDPC;International Conference on Sensing, Diagnostics, Prognostics, and Control;B4
"16153375";FOUNDATIONS OF COMPUTATIONAL MATHEMATICS (PRINT);A1
"15590291";APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY (ONLINE);nulo
"03632415";FISHERIES (BETHESDA, MD.);A4
"00332097";PRZEGLAD ELEKTROTECHNICZNY;B3
"14730502";TRANSFUSION AND APHERESIS SCIENCE;B1
"01491970";PROGRESS IN NUCLEAR ENERGY (NEW SERIES);A2
"22279709";INFORMATICS;A2
"02181266";JOURNAL OF CIRCUITS, SYSTEMS, AND COMPUTERS;B1
UIC;IEEE International Conference on Ubiquitous Intelligence and Computing;B2
EUMAS;European Conference on Multi-Agent Systems;B3
"00010782";COMMUNICATIONS OF THE ACM;A1
"13359150";COMPUTING AND INFORMATICS;B2
UCHPC;Workshop on UnConventional High Performance Computing;B4
"00221694";JOURNAL OF HYDROLOGY (AMSTERDAM);A1
"07981015";ESPACIOS (CARACAS);B3
"09507051";KNOWLEDGE-BASED SYSTEMS;A1
"00075922";MITTEILUNGEN KLOSTERNEUBURG;B4
PROFES;International Conference on Product-Focused Software Process Improvement;B1
"10505164";THE ANNALS OF APPLIED PROBABILITY;A2
"10122443";ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE;A3
ASIACSS;ACM on Asia Conference on Computer and Communications Security;A1
"19276974";ARTIFICIAL INTELLIGENCE RESEARCH;nulo
"22381295";INTERCIÊNCIA & SOCIEDADE - REVISTA ELETRÔNICA;nulo
"00189286";IEEE TRANSACTIONS ON AUTOMATIC CONTROL (PRINT);A1
EUROCG;European Workshop on Computational Geometry;B4
"19956630";DIÁLOGOS DE LA COMUNICACIÓN (EN LÍNEA);nulo
"1574020X";LANGUAGE RESOURCES AND EVALUATION;A1
MMRP;International Workshop on Multilayer Music Representation and Processing;B3
UIST;ACM User Interface Software Technology Symposium;A1
"02721716";IEEE COMPUTER GRAPHICS AND APPLICATIONS;A3
ECAL;European Conference on Artificial Life;B1
"23301007";INTERNATIONAL JOURNAL OF WIRELESS COMMUNICATIONS AND MOBILE COMPUTING;nulo
ICISS;International Conference on Information Systems Security;B2
"1350911X";ELECTRONICS LETTERS (ONLINE);A3
ABZ;International ABZ Conference ASM, Alloy, B, TLA, VDM, Z;A4
EUVIP;European Workshop on Visual Information Processing;B2
"10920617";JOURNAL OF INTEGRATED DESIGN & PROCESS SCIENCE;A4
"19814224";EDUCAÇÃO & IMAGEM (UERJ);nulo
NFV-SDN;IEEE Conference on Network Function Virtualization and Software Defined Networks;B1
"20749007";INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY AND COMPUTER SCIENCE;nulo
"14321882";MULTIMEDIA SYSTEMS (ONLINE);A2
"00320889";PLANT PHYSIOLOGY (BETHESDA);A1
"2179460X";REVISTA CIÊNCIA E NATURA;nulo
"14333058";NEURAL COMPUTING & APPLICATIONS (INTERNET);A2
EMO;International Conference on Evolutionary Multi-Criterion Optimization;A4
"10197168";ADVANCES IN COMPUTATIONAL MATHEMATICS;A3
"01035053";JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (IMPRESSO);A4
"18743919";JOURNAL OF PROTEOMICS (PRINT);A1
SOCIALCOM;International Conference on Social Computing;A3
CNMAC;Congresso Nacional de Matemática Aplicada e Computacional;B3
"00200255";INFORMATION SCIENCES;A1
ICSEW;International Conference on Software Engineering Workshops;B3
RESER;International Workshop on Replication in Empirical Software Engineering Research;B3
SUGARLOAFPLOP;Latin American Conference on Pattern Languages of Programming;B4
"16469895";RISTI - REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO;B4
"07524072";TSI. TECHNIQUE ET SCIENCE INFORMATIQUES;nulo
"10991689";SOFTWARE TESTING, VERIFICATION AND RELIABILITY;A2
MCPR2;Mexican Conference on Pattern Recognition;B2
IFSA;World Congress of International Fuzzy Systems Association;B3
LCDNET;Workshop on Lowest Cost Denominator Networking for Universal Access;B4
"15359484";MOLECULAR & CELLULAR PROTEOMICS (ONLINE);A1
"18625347";ADVANCES IN DATA ANALYSIS AND CLASSIFICATION;A2
"03790738";FORENSIC SCIENCE INTERNATIONAL;A3
"13518216";HAEMOPHILIA (OXFORD. PRINT);A3
"14651734";JOURNAL OF HYDROINFORMATICS (ONLINE);A3
"18612121";INTERNATIONAL JOURNAL OF ONLINE ENGINEERING;A4
CSCW;ACM Conference on Computer Supported Cooperative Work & Social Computing;A1
ECTEL;European Conference on Technology Enhanced Learning;A4
"10897798";IEEE COMMUNICATIONS LETTERS (PRINT);A1
"01004042";QUÍMICA NOVA;B2
"15353893";JOURNAL OF PROTEOME RESEARCH (PRINT);A2
ICICS;International Conference on Information and Communications Security;B2
"16629752";MATERIALS SCIENCE FORUM (ONLINE);B3
MoWNeT;International Conference on Selected Topics in Mobile and Wireless Networking;B3
"21752745";REVISTA DE INFORMÁTICA TEÓRICA E APLICADA: RITA;B4
"1751648X";INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS (PRINT);B4
"15516857";ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS;A2
"15730484";THE JOURNAL OF SUPERCOMPUTING (DORDRECHT. ONLINE);A2
"17550653";INTERNATIONAL JOURNAL OF MEDICAL ENGINEERING AND INFORMATICS;B3
WiOpt;International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks;A3
ICNSC;IEEE International Conference on Networking, Sensing and Control;A4
COGSCI;Annual Meeting of the Cognitive Science Society;A2
WEIHC;Workshop sobre Ensino de IHC;B4
CCC;IEEE Conference on Computational Complexity;A3
ISMIS;International Symposium on Methodologies for Intelligent Systems;B3
MOBIHOC;ACM International Symposium on Mobile Ad Hoc Networking and Computing;A2
"03608581";IEEE ENGINEERING MANAGEMENT REVIEW;B2
MUCS;IEEE Workshop on Managing Ubiquitous Communications and Services;B4
"16877195";INTERNATIONAL JOURNAL OF RECONFIGURABLE COMPUTING (PRINT);B2
"00104825";COMPUTERS IN BIOLOGY AND MEDICINE;A2
"10829873";D-LIB MAGAZINE;A2
"10991131";INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS;A4
SBRC;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos;A4
ETS;IEEE European Test Symposium;B1
IWCTS;International Workshop on Computational Transportation Science;B2
"16485831";INFORMATICS IN EDUCATION;A1
ICAIS;International Conference on Adaptive and Intelligent Systems;B3
PLOP;Conference on Pattern Languages of Programs;B2
LPNMR;International Conference on Logic Programming and Non-monotonic Reasoning;A3
DEBS;International Conference on Distributed and Event-Based Systems;A3
"19815344";PERSPECTIVAS EM CIÊNCIA DA INFORMAÇÃO;B1
"16784464";CADERNOS DE SAÚDE PÚBLICA (ONLINE);B2
WACV;Winter Conference on Applications of Computer Vision;A1
"14145138";SÉRIE-ESTUDOS (UCDB);nulo
"16463692";IADIS INTERNATIONAL JOURNAL ON COMPUTER SCIENCE AND INFORMATION SYSTEMS;nulo
SIMUTOOLS;International Conference on Simulation Tools and Techniques;B1
LFCS;Symposium on Logical Foundations of Computer Science;B2
DAS;International Workshop on Document Analysis Systems;A4
